2828	649
41996	1
26324	10
26863	1
28995	2
32033	3
83978	1
86393	1
86331	2
84234	1
54925	2
76942	3
77159	1
14617	1
9868	1
51857	1
627	5
24979	1
79453	2
81147	1
68813	1
75768	3
6611	12
26070	1
10117	4
22620	2
58353	1
87044	1
8049	3
23136	1
48657	1
86251	5
54459	1
77027	2
65219	1
26601	1
17789	8
27639	2
1655	2
38202	4
37137	1
8593	2
4538	78
70282	1
58588	9
54929	1
84507	2
78506	1
73337	1
9311	8
69386	1
2558	1
30715	1
80995	2
56267	1
75723	1
65577	11
74127	1
57454	4
47885	3
32965	4
25573	1
47364	1
48557	2
9608	1
80169	1
6831	30
52146	2
35768	1
178	290
749	244
81823	1
1472	1
14486	1
65162	1
24951	2
63183	15
47539	1
66902	1
67909	1
36406	1
71975	1
70076	2
70753	1
73379	1
83006	1
8736	49
52210	1
27380	7
37450	1
5919	1
20774	1
10065	1
18578	1
50432	1
20349	1
39624	42
77292	1
49862	1
53464	11
60215	4
12526	1
60412	2
71603	2
73116	1
85421	1
74283	7
85424	1
3465	247
4474	2
18991	4
43335	7
35668	1
7902	21
68584	2
70876	8
32725	1
26627	1
4422	29
29241	1
66344	4
44151	1
9151	2
1932	15
40763	1
3050	210
50965	1
71216	4
66382	1
80502	7
40642	1
65427	2
73912	4
10592	4
55410	2
49384	1
32976	8
40122	3
69653	1
25253	1
35132	7
43345	7
17319	2
44135	2
56735	1
34805	6
80157	1
73420	1
46102	1
18651	1
82215	1
413	45
39912	1
36838	2
32801	8
18875	2
74688	1
71010	1
13963	1
81958	2
5934	5
10427	1
28429	2
30643	1
61571	6
26005	1
24851	1
46175	3
74896	4
52563	3
52037	2
66747	1
26056	1
41187	4
25962	1
6321	1
12781	1
19082	1
18764	1
27125	1
6102	2
55801	8
48917	1
31142	1
44224	1
73664	14
47340	1
78049	1
34333	7
6192	23
78785	1
6097	1
9727	1
60002	1
71025	3
15014	1
71606	2
1998	1
37672	1
39465	1
23611	2
30449	4
79467	2
65126	1
38671	7
72426	1
27680	3
72596	1
66875	1
69184	1
27658	58
76608	2
73172	1
86413	1
623	150
58620	3
4631	23
58049	2
27787	3
12132	13
15543	7
46264	5
45991	2
53609	4
50829	4
53455	2
72506	1
19820	3
57453	4
78268	11
35827	1
49192	1
74220	1
86598	2
28207	22
18122	1
60522	1
8413	7
66031	1
26500	1
62736	2
64887	1
86641	2
10137	1
41166	4
53829	1
49875	1
64784	1
47581	2
55012	1
57488	1
58843	1
55184	1
62926	1
2098	82
70629	1
44005	1
58910	1
36474	1
71933	1
26623	1
10442	36
86922	1
69376	1
18817	1
17195	16
73370	1
34233	18
13045	1
64553	1
83465	1
36128	8
1532	7
10716	3
27435	14
53795	1
74545	1
62587	2
66818	1
78603	1
63985	2
6542	9
4222	4
47184	1
30929	1
70591	1
77986	1
7030	2
46894	1
86678	2
8562	10
84781	1
12423	1
35603	2
43318	5
28281	27
7678	5
48966	1
48551	2
54380	1
80418	8
50667	1
71905	1
7178	25
72319	1
67220	1
64550	1
76963	2
74641	1
53338	1
10924	1
51113	1
49167	1
38366	2
44078	2
53644	1
63307	1
38143	5
63266	24
37790	11
70153	1
54954	2
42648	5
79061	5
10718	1
4418	5
15836	15
25301	5
29682	3
59329	1
39780	1
4895	1
60739	1
23910	3
22639	23
25781	1
21862	4
39063	1
17131	1
35097	13
55494	1
64690	2
34198	31
72052	1
22526	2
35525	1
64650	4
21597	3
30410	1
62286	2
11340	1
48868	1
53364	1
32147	1
82641	1
7994	1
60128	1
57967	1
18958	1
73154	2
81532	3
7766	1
14790	1
20758	1
36147	1
86909	1
38142	8
32090	26
1496	3
50113	1
32810	4
78932	3
48566	1
44846	1
45059	24
68621	2
45697	19
85403	1
79788	3
86130	9
5297	101
50517	58
66497	1
57254	2
59831	11
63058	1
28096	2
37439	1
34574	2
37176	1
48546	4
57949	1
20498	6
23768	2
74718	14
31697	4
34636	3
67572	2
72561	1
45219	1
75091	18
87225	1
78988	1
60485	10
67299	11
73752	31
83773	1
48593	1
19842	1
35687	1
66011	1
20999	9
12009	5
36105	11
71091	1
68232	1
21720	25
39412	1
73351	1
69342	1
7660	10
4173	11
29354	1
29057	1
42884	1
20337	1
25614	1
33715	11
8300	3
36644	4
2328	1
77215	2
5093	5
52342	2
67482	8
75247	1
46286	6
72589	1
46411	1
49026	1
15251	1
44825	7
84505	1
42926	11
36743	2
12919	2
55942	8
43032	15
37085	1
72395	1
44943	1
30784	1
12828	63
54492	1
86217	2
39024	1
67394	1
31831	1
36014	3
34326	2
66574	1
19926	1
22182	22
70869	2
18328	23
35450	2
75256	2
990	103
24235	82
56110	1
27359	8
13394	2
37655	3
38520	5
84440	1
15136	1
8713	62
85641	1
40654	1
40495	1
59230	3
35796	1
53915	11
56364	1
47653	3
63662	1
63826	2
31321	1
5711	2
34550	1
17986	14
73091	1
50751	7
33022	11
77686	3
83007	1
46480	1
21469	102
22409	1
27799	1
67001	1
58557	4
3466	232
71160	1
54092	1
74203	8
36063	1
18600	1
62904	4
9268	2
24092	3
79151	1
6471	9
24706	6
5354	15
43791	1
28304	1
81254	1
79670	3
72101	1
86442	1
9075	2
29388	7
10135	2
32430	1
76292	1
35857	1
33450	1
66635	1
24332	1
39893	1
49138	1
52570	2
45921	2
78858	1
81272	1
84073	1
24936	2
36234	1
85264	1
22089	1
32445	1
49917	1
2085	2
49344	1
3882	317
37872	1
24189	4
53851	1
85618	1
33103	2
50492	50
5554	93
84815	1
61525	1
8409	5
86271	1
31404	7
30248	5
82206	1
1459	1
57750	2
59727	1
23121	1
52733	1
42602	1
61544	1
34886	1
4898	1
18103	1
62368	2
30969	1
32804	1
25549	1
48666	1
25620	3
62049	2
5682	21
86660	2
82529	1
62812	1
81305	1
69404	1
2865	14
4361	29
42183	10
18582	1
63877	3
78676	1
73564	1
85012	2
70173	1
4605	3
81456	3
19530	8
29737	7
37343	7
